


商品名称 ：铜                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,576741,393716,期货公司  ,397072,13177,期货公司  ,398582,12506,
非期货公司,1215,-666,非期货公司,6420,-15,非期货公司,4910,656,
合约代码 ：cu1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
20,方正中期  ,3672,2431,20,南华期货  ,1540,45,20,云晨期货  ,1646,-183,
合计,,171990,109272,合计,,66323,-961,合计,,77436,3946,
合约代码 ：cu1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,11250,5782,1,中信期货  ,7496,305,1,五矿经易  ,8906,-507,
2,海通期货  ,10611,6681,2,永安期货  ,5645,1068,2,金瑞期货  ,8714,931,
3,上海中期  ,8533,7231,3,方正中期  ,5006,645,3,中信期货  ,7848,-83,
4,中信期货  ,5412,3360,4,金瑞期货  ,4912,344,4,海通期货  ,5879,-25,
5,鲁证期货  ,5067,2982,5,中粮期货  ,4594,627,5,国泰君安  ,4563,87,
6,中融汇信  ,4379,2709,6,国贸期货  ,4430,3,6,宏源期货  ,3291,43,
7,国投安信  ,3171,2077,7,海通期货  ,3761,120,7,建信期货  ,3130,10,
8,五矿经易  ,2904,2478,8,广发期货  ,3573,-202,8,混沌天成  ,3103,1,
9,银河期货  ,2505,1777,9,国泰君安  ,2966,207,9,一德期货  ,2629,23,
10,兴证期货  ,2274,1616,10,弘业期货  ,2356,-17,10,瑞达期货  ,2213,1459,
11,同信久恒  ,2125,589,11,迈科期货  ,2256,33,11,永安期货  ,2125,290,
12,中辉期货  ,2091,1635,12,铜冠金源  ,2138,19,12,同信久恒  ,1736,597,
13,永安期货  ,2024,1734,13,银河期货  ,1543,-9,13,新湖期货  ,1639,37,
14,金瑞期货  ,2005,1810,14,同信久恒  ,1506,302,14,道通期货  ,1600,0,
15,广发期货  ,1955,1437,15,国信期货  ,1417,164,15,中粮期货  ,1387,57,
16,瑞达期货  ,1918,1887,16,建信期货  ,1373,57,16,中银国际  ,1341,-164,
17,铜冠金源  ,1762,1513,17,南华期货  ,1309,-56,17,云晨期货  ,1339,2,
18,国泰君安  ,1472,834,18,兴业期货  ,1217,-218,18,迈科期货  ,1282,26,
19,华泰期货  ,1432,1071,19,中航期货  ,1131,862,19,华安期货  ,1192,-3,
20,华安期货  ,1311,982,20,东兴期货  ,1087,1,20,银河期货  ,1136,216,
合计,,74201,50185,合计,,59716,4255,合计,,65053,2997,
合约代码 ：cu1806                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,3854,2187,1,格林大华  ,13022,-48,1,中粮期货  ,3368,0,
2,上海中期  ,3804,3111,2,永安期货  ,3207,9,2,金瑞期货  ,2989,11,
3,鲁证期货  ,3118,2257,3,金瑞期货  ,2528,685,3,中信期货  ,2807,217,
4,海通期货  ,3065,1735,4,国贸期货  ,2404,0,4,五矿经易  ,2585,172,
5,中融汇信  ,2720,1993,5,弘业期货  ,2005,-942,5,海通期货  ,2567,4,
6,五矿经易  ,2431,2361,6,国泰君安  ,1742,-72,6,同信久恒  ,1947,280,
7,银河期货  ,2142,2004,7,中粮期货  ,1071,211,7,国投安信  ,1549,20,
8,中信期货  ,1842,1345,8,中信期货  ,1002,27,8,建信期货  ,1539,138,
9,中辉期货  ,1652,1296,9,迈科期货  ,935,2,9,中银国际  ,1277,0,
10,国投安信  ,1222,1068,10,方正中期  ,910,118,10,上海大陆  ,1194,201,
11,国富期货  ,1212,1197,11,银河期货  ,596,126,11,格林大华  ,1190,-2,
12,兴证期货  ,1205,969,12,海通期货  ,559,223,12,国富期货  ,1106,1034,
13,弘业期货  ,1003,969,13,五矿经易  ,532,139,13,宏源期货  ,1064,-48,
14,金瑞期货  ,986,972,14,鲁证期货  ,500,199,14,中国国际  ,1031,0,
15,同信久恒  ,936,300,15,上海大陆  ,479,0,15,迈科期货  ,990,3,
16,方正中期  ,668,593,16,新湖期货  ,455,1,16,兴业期货  ,937,86,
17,广发期货  ,648,555,17,东兴期货  ,414,93,17,新湖期货  ,916,7,
18,津投期货  ,643,593,18,南华期货  ,409,-65,18,云晨期货  ,789,3,
19,西部期货  ,581,533,19,英大期货  ,354,28,19,铜冠金源  ,746,0,
20,宏源期货  ,499,336,20,建信期货  ,331,50,20,华安期货  ,665,0,
合计,,34231,26374,合计,,33455,784,合计,,31256,2126,
合约代码 ：cu1807                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,五矿经易  ,1777,1648,1,格林大华  ,10998,0,1,金瑞期货  ,1962,128,
2,东证期货  ,1508,772,2,永安期货  ,3980,-2,2,中信期货  ,1921,88,
3,广发期货  ,634,544,3,国泰君安  ,1710,1,3,中钢期货  ,1794,-153,
4,兴证期货  ,525,326,4,弘业期货  ,1064,1,4,海通期货  ,1706,0,
5,海通期货  ,332,75,5,金瑞期货  ,614,0,5,永安期货  ,1306,-4,
6,中辉期货  ,332,265,6,五矿经易  ,497,113,6,铜冠金源  ,1283,20,
7,中信期货  ,309,59,7,迈科期货  ,400,0,7,广发期货  ,1184,362,
8,方正中期  ,301,300,8,新湖期货  ,215,0,8,中粮期货  ,1164,6,
9,建信期货  ,296,296,9,英大期货  ,196,28,9,方正中期  ,812,-252,
10,华信期货  ,276,273,10,上海大陆  ,185,0,10,五矿经易  ,774,186,
11,银河期货  ,223,26,11,广州期货  ,171,-2,11,东兴期货  ,759,-35,
12,宏源期货  ,212,-42,12,南华期货  ,156,0,12,国泰君安  ,732,-8,
13,兴业期货  ,178,178,13,鲁证期货  ,134,0,13,云晨期货  ,727,0,
14,中钢期货  ,173,162,14,申万期货  ,132,5,14,建信期货  ,720,292,
15,西部期货  ,167,121,15,建信期货  ,130,-4,15,同信久恒  ,664,-53,
16,同信久恒  ,164,3,16,一德期货  ,122,5,16,中银国际  ,508,0,
17,上海中期  ,155,25,17,方正中期  ,120,-1,17,兴证期货  ,486,-28,
18,金瑞期货  ,148,148,18,东海期货  ,117,-29,18,兴业期货  ,409,-138,
19,国信期货  ,137,134,19,海通期货  ,113,-4,19,东证期货  ,342,-30,
20,中融汇信  ,103,-3,20,中信期货  ,110,-1,20,招金期货  ,295,-8,
合计,,7950,5310,合计,,21164,110,合计,,19548,373,
合约代码 ：cu1808                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,五矿经易  ,1514,1500,1,格林大华  ,11948,0,1,中信期货  ,5584,39,
2,东证期货  ,559,507,2,永安期货  ,4026,289,2,国贸期货  ,4076,-2,
3,银河期货  ,390,313,3,国泰君安  ,1023,0,3,中粮期货  ,1846,2,
4,永安期货  ,316,304,4,金瑞期货  ,441,0,4,海通期货  ,1566,3,
5,海通期货  ,278,169,5,中钢期货  ,406,0,5,东兴期货  ,851,14,
6,兴证期货  ,274,231,6,鲁证期货  ,337,0,6,铜冠金源  ,724,0,
7,中信期货  ,118,83,7,新湖期货  ,197,0,7,五矿经易  ,670,127,
8,中辉期货  ,112,102,8,建信期货  ,136,0,8,银河期货  ,491,-6,
9,西部期货  ,102,88,9,迈科期货  ,132,0,9,金瑞期货  ,414,-27,
10,中融汇信  ,97,58,10,五矿经易  ,122,27,10,永安期货  ,267,3,
11,金瑞期货  ,97,93,11,广州期货  ,120,0,11,迈科期货  ,250,-20,
12,国信期货  ,88,85,12,申万期货  ,86,-9,12,国信期货  ,245,82,
13,中钢期货  ,84,73,13,海证期货  ,85,50,13,长江期货  ,232,2,
14,华西期货  ,82,42,14,东海期货  ,79,0,14,金元期货  ,200,0,
15,海证期货  ,76,76,15,一德期货  ,67,-6,15,财达期货  ,186,0,
16,上海中期  ,66,62,16,中金期货  ,60,0,16,招金期货  ,180,11,
17,申万期货  ,66,44,17,方正中期  ,54,0,17,恒泰期货  ,158,10,
18,广发期货  ,58,58,18,铜冠金源  ,52,0,18,南华期货  ,151,0,
19,一德期货  ,57,49,19,光大期货  ,48,0,19,东证期货  ,127,24,
20,广州期货  ,57,57,20,中航期货  ,40,0,20,一德期货  ,121,1,
合计,,4491,3994,合计,,19459,351,合计,,18339,263,
合约代码 ：cu1809                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,五矿经易  ,2365,2328,1,格林大华  ,11000,0,1,国贸期货  ,3947,0,
2,永安期货  ,1035,1035,2,永安期货  ,3495,1014,2,五矿经易  ,2305,228,
3,东证期货  ,612,595,3,中钢期货  ,282,0,3,中信期货  ,2033,-3,
4,兴证期货  ,425,386,4,国泰君安  ,218,0,4,中粮期货  ,1587,0,
5,银河期货  ,412,396,5,南华期货  ,202,0,5,铜冠金源  ,988,28,
6,广发期货  ,193,193,6,金瑞期货  ,164,0,6,国信期货  ,409,-28,
7,中原期货  ,130,126,7,铜冠金源  ,101,0,7,东兴期货  ,360,65,
8,华西期货  ,129,91,8,五矿经易  ,75,-83,8,广发期货  ,358,187,
9,首创期货  ,112,111,9,方正中期  ,73,15,9,方正中期  ,308,-9,
10,同信久恒  ,108,107,10,东海期货  ,67,0,10,建信期货  ,234,0,
11,安粮期货  ,107,107,11,中金期货  ,60,0,11,金瑞期货  ,232,-63,
12,海证期货  ,102,102,12,国信期货  ,54,0,12,国泰君安  ,228,2,
13,招金期货  ,97,64,13,信达期货  ,44,-1,13,海通期货  ,183,0,
14,国信期货  ,96,96,14,招金期货  ,39,-55,14,格林大华  ,179,1,
15,上海中期  ,94,79,15,一德期货  ,38,0,15,永安期货  ,178,19,
16,铜冠金源  ,92,92,16,弘业期货  ,32,0,16,新湖期货  ,177,50,
17,西部期货  ,92,74,17,建信期货  ,28,0,17,东证期货  ,172,33,
18,海通期货  ,88,39,18,华泰期货  ,27,4,18,迈科期货  ,160,0,
19,平安期货  ,82,67,19,中信期货  ,25,-11,19,恒泰期货  ,154,15,
20,光大期货  ,80,80,20,中信建投  ,22,0,20,招金期货  ,150,-10,
合计,,6451,6168,合计,,16046,883,合计,,14342,515,
商品名称 ：铝                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,471042,198238,期货公司  ,393303,-2459,期货公司  ,393845,-2469,
非期货公司,10,10,非期货公司,907,-10,非期货公司,365,0,
合约代码 ：al1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,9666,4886,1,国贸期货  ,8433,232,1,中信期货  ,9677,-574,
2,东证期货  ,7359,1779,2,中粮期货  ,6131,-244,2,金瑞期货  ,6745,-67,
3,中信期货  ,3223,-665,3,上海中期  ,4646,-389,3,国贸期货  ,4501,1,
4,申万期货  ,3055,1906,4,方正中期  ,3133,-102,4,五矿经易  ,3977,54,
5,国海良时  ,2946,2854,5,华信期货  ,3067,-164,5,国信期货  ,3389,-43,
6,中融汇信  ,2573,521,6,国泰君安  ,3064,-117,6,鲁证期货  ,3133,-61,
7,国投安信  ,2511,744,7,国投安信  ,2879,-69,7,海通期货  ,3001,-700,
8,鲁证期货  ,2475,261,8,海通期货  ,2833,-300,8,云晨期货  ,2586,-255,
9,中辉期货  ,2452,94,9,英大期货  ,2701,-489,9,国投安信  ,2493,-1010,
10,首创期货  ,2193,1228,10,中信期货  ,2622,-635,10,一德期货  ,2321,30,
11,一德期货  ,1463,863,11,金瑞期货  ,2396,-189,11,广发期货  ,2133,6,
12,中粮期货  ,1459,980,12,国信期货  ,2305,-29,12,格林大华  ,2002,9,
13,倍特期货  ,1333,646,13,光大期货  ,2223,-489,13,国泰君安  ,1986,-276,
14,兴证期货  ,1288,90,14,银河期货  ,1360,-227,14,南华期货  ,1717,-194,
15,永安期货  ,1196,341,15,迈科期货  ,1203,-233,15,首创期货  ,1594,186,
16,同信久恒  ,1169,105,16,鲁证期货  ,1140,-136,16,迈科期货  ,1338,-19,
17,铜冠金源  ,1043,287,17,广发期货  ,976,-70,17,上海中期  ,1205,-73,
18,建信期货  ,886,712,18,申万期货  ,942,-67,18,国海良时  ,1126,-925,
19,东华期货  ,801,718,19,大地期货  ,906,-207,19,广州期货  ,1046,114,
20,光大期货  ,734,128,20,华安期货  ,894,-12,20,中粮期货  ,963,-615,
合计,,49825,18478,合计,,53854,-3936,合计,,56933,-4412,
合约代码 ：al1804                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,29537,11422,1,国信期货  ,9061,-220,1,中信期货  ,14086,-1994,
2,中信期货  ,25818,14109,2,华泰期货  ,6533,3058,2,银河期货  ,7692,-189,
3,东证期货  ,12857,3923,3,迈科期货  ,6516,-199,3,国投安信  ,7335,1048,
4,中融汇信  ,10951,4732,4,中粮期货  ,5925,-203,4,中粮期货  ,6456,971,
5,鲁证期货  ,10269,4973,5,中信期货  ,5518,-16,5,五矿经易  ,5657,337,
6,国泰君安  ,8705,3678,6,英大期货  ,5274,-724,6,国贸期货  ,5227,111,
7,华泰期货  ,8266,5585,7,国贸期货  ,5237,15,7,海通期货  ,5107,-913,
8,国投安信  ,7215,3889,8,方正中期  ,4948,-280,8,永安期货  ,4601,-1454,
9,兴证期货  ,7015,4002,9,海通期货  ,4341,712,9,国泰君安  ,4504,56,
10,西南期货  ,5228,2818,10,五矿经易  ,4132,344,10,南华期货  ,3885,-474,
11,同信久恒  ,5059,2169,11,国泰君安  ,4101,-535,11,一德期货  ,3665,410,
12,中辉期货  ,5056,1673,12,金瑞期货  ,3681,-483,12,中国国际  ,3663,9,
13,申万期货  ,4908,3140,13,南华期货  ,3674,85,13,兴证期货  ,3633,-1238,
14,方正中期  ,4501,3042,14,兴证期货  ,3340,641,14,华泰期货  ,3613,-588,
15,东航期货  ,4163,3401,15,建信期货  ,3193,-26,15,鲁证期货  ,3471,-280,
16,永安期货  ,3871,2250,16,中国国际  ,3185,1091,16,方正中期  ,3379,-1945,
17,上海中期  ,3654,2081,17,银河期货  ,2970,-97,17,上海中期  ,3057,-1058,
18,国海良时  ,3647,3377,18,广发期货  ,2697,55,18,国信期货  ,3051,-51,
19,华鑫期货  ,3633,1895,19,光大期货  ,2628,144,19,国海良时  ,2430,1863,
20,南华期货  ,3495,1027,20,东证期货  ,2491,-533,20,建信期货  ,2422,906,
合计,,167848,83186,合计,,89445,2829,合计,,96934,-4473,
合约代码 ：al1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,16931,8248,1,国信期货  ,13024,68,1,中信期货  ,16138,-818,
2,中信期货  ,8031,3319,2,中信期货  ,6977,1275,2,中粮期货  ,10884,215,
3,东证期货  ,5818,1333,3,国贸期货  ,5909,-2,3,华信期货  ,10254,35,
4,中融汇信  ,4831,871,4,英大期货  ,5077,807,4,国贸期货  ,6623,-36,
5,申万期货  ,4593,3021,5,迈科期货  ,4781,-36,5,国投安信  ,6088,229,
6,鲁证期货  ,4299,1170,6,五矿经易  ,4761,150,6,广发期货  ,6042,82,
7,中辉期货  ,4279,208,7,金瑞期货  ,4491,-359,7,华泰期货  ,5684,-39,
8,华安期货  ,3903,2541,8,国泰君安  ,3999,119,8,中国国际  ,4987,1119,
9,同信久恒  ,3450,1151,9,国富期货  ,3835,6,9,永安期货  ,4237,2018,
10,永安期货  ,3293,2456,10,首创期货  ,3325,133,10,上海中期  ,3678,57,
11,浙商期货  ,3291,2981,11,建信期货  ,3242,60,11,国泰君安  ,2788,1068,
12,华信期货  ,2603,1316,12,倍特期货  ,3172,-312,12,方正中期  ,2622,11,
13,国投安信  ,2460,1351,13,广发期货  ,2725,126,13,银河期货  ,2440,142,
14,上海中期  ,2409,1481,14,中粮期货  ,2722,-119,14,中辉期货  ,2354,74,
15,国海良时  ,2382,2172,15,银河期货  ,2671,-224,15,海通期货  ,1967,172,
16,华鑫期货  ,2187,1486,16,华泰期货  ,2504,38,16,中金期货  ,1931,-13,
17,国泰君安  ,2101,1126,17,南华期货  ,2306,54,17,申万期货  ,1901,1624,
18,东航期货  ,1921,796,18,一德期货  ,2042,-86,18,金瑞期货  ,1871,66,
19,首创期货  ,1749,1348,19,鲁证期货  ,1860,-90,19,一德期货  ,1784,0,
20,铜冠金源  ,1672,1050,20,混沌天成  ,1834,-73,20,五矿经易  ,1744,163,
合计,,82203,39425,合计,,81257,1535,合计,,96017,6169,
合约代码 ：al1806                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,4283,1500,1,国信期货  ,11511,-34,1,华信期货  ,9522,156,
2,东证期货  ,2367,-339,2,广发期货  ,2809,506,2,中信期货  ,6028,-266,
3,同信久恒  ,1750,870,3,英大期货  ,2748,101,3,国投安信  ,4606,50,
4,中信期货  ,1693,830,4,一德期货  ,2200,40,4,国贸期货  ,4167,1,
5,鲁证期货  ,1584,-69,5,中信期货  ,1836,67,5,中粮期货  ,2540,66,
6,中辉期货  ,1576,-699,6,银河期货  ,1623,9,6,华泰期货  ,1318,454,
7,中融汇信  ,1416,507,7,金瑞期货  ,1395,72,7,东亚期货  ,1102,0,
8,申万期货  ,1289,321,8,建信期货  ,1286,5,8,南华期货  ,1042,-7,
9,广发期货  ,907,792,9,国贸期货  ,1238,32,9,海通期货  ,1023,16,
10,上海中期  ,857,820,10,迈科期货  ,1054,-159,10,首创期货  ,915,-93,
11,华安期货  ,769,721,11,中粮期货  ,978,20,11,中金期货  ,861,322,
12,倍特期货  ,678,38,12,新湖期货  ,850,155,12,华安期货  ,753,551,
13,华信期货  ,602,-646,13,鲁证期货  ,811,66,13,一德期货  ,696,0,
14,迈科期货  ,546,131,14,南华期货  ,782,101,14,光大期货  ,665,56,
15,华泰期货  ,520,-37,15,永安期货  ,759,94,15,迈科期货  ,642,377,
16,宏源期货  ,501,280,16,瑞达期货  ,618,-64,16,大地期货  ,566,-43,
17,国投安信  ,472,264,17,中钢期货  ,555,0,17,倍特期货  ,530,-495,
18,云晨期货  ,420,420,18,山金期货  ,542,0,18,永安期货  ,525,256,
19,永安期货  ,418,121,19,国泰君安  ,476,6,19,云晨期货  ,520,420,
20,新湖期货  ,400,72,20,光大期货  ,451,24,20,上海中期  ,482,-12,
合计,,23048,5897,合计,,34522,1041,合计,,38503,1809,
商品名称 ：锌                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,511836,118198,期货公司  ,202821,3007,期货公司  ,202324,2905,
非期货公司,1078,-436,非期货公司,11270,-420,非期货公司,11767,-318,
合约代码 ：zn1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,8873,-703,1,金瑞期货  ,4183,-299,1,中信期货  ,5212,-581,
2,中信期货  ,3640,308,2,首创期货  ,2320,-76,2,一德期货  ,2220,128,
3,鲁证期货  ,2970,-88,3,银河期货  ,2081,-291,3,迈科期货  ,1914,-21,
4,东证期货  ,2909,-2604,4,兴证期货  ,1752,-214,4,格林大华  ,1574,-1,
5,中融汇信  ,2392,336,5,广发期货  ,1693,-14,5,中粮期货  ,1311,-859,
6,中辉期货  ,1795,195,6,五矿经易  ,1544,-154,6,五矿经易  ,1246,-3,
7,国投安信  ,1387,-851,7,大地期货  ,1528,0,7,东证期货  ,832,-14,
8,方正中期  ,1093,608,8,海通期货  ,1293,0,8,道通期货  ,812,0,
9,同信久恒  ,1076,108,9,建信期货  ,1289,-131,9,华泰期货  ,737,-62,
10,上海中期  ,1014,493,10,中粮期货  ,1238,-40,10,首创期货  ,713,-84,
11,中粮期货  ,977,527,11,中信期货  ,1207,-145,11,国信期货  ,645,-23,
12,兴证期货  ,821,-614,12,格林大华  ,1160,0,12,铜冠金源  ,573,-258,
13,一德期货  ,814,416,13,迈科期货  ,1062,10,13,银河期货  ,569,-19,
14,铜冠金源  ,793,-818,14,天鸿期货  ,800,0,14,建信期货  ,545,4,
15,华泰期货  ,653,253,15,大有期货  ,742,63,15,方正中期  ,531,6,
16,新湖期货  ,527,406,16,东亚期货  ,670,-180,16,中钢期货  ,505,0,
17,光大期货  ,470,80,17,通惠期货  ,661,0,17,国泰君安  ,483,-15,
18,申万期货  ,452,-790,18,东证期货  ,551,73,18,永安期货  ,459,-96,
19,银河期货  ,444,-360,19,中银国际  ,463,-25,19,大越期货  ,377,-200,
20,美尔雅    ,441,-169,20,同信久恒  ,456,-714,20,广发期货  ,366,-32,
合计,,33541,-3267,合计,,26693,-2137,合计,,21624,-2130,
合约代码 ：zn1804                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,55116,11152,1,上海中期  ,8159,505,1,中信期货  ,7332,-1297,
2,中信期货  ,25208,6300,2,中信期货  ,7206,-973,2,中粮期货  ,6563,-177,
3,鲁证期货  ,18804,7365,3,中粮期货  ,7166,-1306,3,五矿经易  ,5470,131,
4,东证期货  ,16759,1506,4,五矿经易  ,5298,-330,4,东证期货  ,4235,-14,
5,中融汇信  ,13617,2580,5,华安期货  ,4749,585,5,兴证期货  ,3635,-441,
6,国投安信  ,11210,1237,6,海通期货  ,4306,353,6,永安期货  ,3536,-105,
7,兴证期货  ,10588,3071,7,金瑞期货  ,4263,439,7,国泰君安  ,2433,173,
8,华安期货  ,8467,3984,8,通惠期货  ,2905,0,8,银河期货  ,2394,199,
9,国泰君安  ,8458,241,9,广发期货  ,2588,142,9,迈科期货  ,2207,383,
10,上海中期  ,7620,2868,10,华泰期货  ,2033,-749,10,一德期货  ,2196,117,
11,华泰期货  ,6620,2421,11,方正中期  ,2021,-38,11,建信期货  ,2114,-3,
12,中辉期货  ,5954,4277,12,格林大华  ,1830,-6,12,方正中期  ,1944,476,
13,徽商期货  ,5817,3434,13,永安期货  ,1685,-436,13,铜冠金源  ,1937,188,
14,铜冠金源  ,4931,1375,14,建信期货  ,1642,125,14,大有期货  ,1723,146,
15,南华期货  ,4684,1294,15,银河期货  ,1632,331,15,徽商期货  ,1489,155,
16,同信久恒  ,4313,-651,16,首创期货  ,1536,-165,16,华泰期货  ,1349,-293,
17,中粮期货  ,4285,806,17,东证期货  ,1501,103,17,金汇期货  ,1177,97,
